TICKER	RANGO ÓPTIMO	MÍNIMO Y MÁXIMO	FECHA DE ANÁLISIS	Bloque Sector	Sectores	Indice	Nombre
MA	$90 - $175	MIN $85 MAX $180	5/19/2026	CARDS	Financial | Credit Services	NYSE	Mastercard Incorporated
PYPL	$50 - $80	MIN $40 MAX $90	5/19/2026	CARDS	Financial | Credit Services	NASD	PayPal Holdings, Inc.
V	$60 - $170	MIN $55 MAX $175	5/19/2026	CARDS	Financial | Credit Services	NYSE	Visa Inc.
BABA	$40 - $60	MIN $40 MAX $70	5/19/2026	CHINA	Consumer Cyclical | Internet Retrail	NYSE	Alibaba Group Holding Limited
LI	$25 - $60	MIN $25MAX $70	5/19/2026	CHINA	Consumer Cyclical | Auto Manufacturers	NASD	Li Auto Inc.
NIO	$30 - $75	MIN $25 MAX $75	5/19/2026	CHINA	Consumer Cyclical | Auto Manufacturers	NYSE	NIO Inc.
XPEV	$50 - 70	MIN $45 MAX $75	5/19/2026	CHINA	Consumer Cyclical | Auto Manufacturers	NYSE	XPeng Inc.
GLD	$40 - $80	MIN $40 MAX $90	5/19/2026	COMMODITY	Financial | Closed-End Fund - Equity	NYSE	The GDL Fund
SLV	$40 - $75	MIN $35 MAX $80	5/19/2026	COMMODITY	Financial | Exchange Traded Fund	NYSE	iShares Silver Trust
USO	$50 - $80	MIN $45 MAX $90	5/19/2026	COMMODITY	Financial | Exchange Traded Fund	NYSE	United States Oil Fund, LP
COIN	$200 - $300	MIN $195 MAX $310	5/19/2026	FINANCIAL / DATA	Financial | Financial Data & Stock Exchanges	NASD	Coinbase Global, Inc.
HOOD	$100 - $150	MIN $90 MAX $ 160	5/19/2026	FINANCIAL / DATA	Financial | Financial Data & Stock Exchanges	NASD	HOOD - Robinhood Markets Inc Stock Price and Quote
CVS	$60 - $120	MIN $55 MAX $130	5/19/2026	HEALTCARE	Healthcare | Healthcare Plans	NYSE	CVS Health Corporation
MRNA	$50 - $130	MIN $50 MAX $130	5/19/2026	HEALTCARE	Healthcare | Biotechnology	NASD	Moderna, Inc.
PFE	$30 - $70	MIN $25 MAX $75	5/19/2026	HEALTCARE	Healthcare | Drug Manufacturers - General	NYSE	Pfizer Inc.
BA	$60 - $170	MIN $50 MAX $180	5/19/2026	INDUSTRIALS	Industrials | Aerospace & Defense	NYSE	The Boeing Company
URA	$55 - $80	MIN $55 MAX $85	5/19/2026	NUCLEAR ENERGY	Financial | Exchange Traded Fund	NYSE	URA - Global X Uranium ETF Stock Price and Quote
CCL	$40 -$60	MIN $35 MAX $65	5/19/2026	CRUISES	Consumer Cyclical | Travel Services	NYSE	Carnival Corporation & plc
RCL	$80 - $150	MIN $ 75 MAX 155	5/19/2026	CRUISES	Consumer Cyclical | Travel Services	NYSE	Royal Caribbean Cruises Ltd.
AAL	$40 - $70	MIN $30 MAX $70	5/19/2026	AERONAUTICAL	Industrials | Airlines	NYSE	American Airlines Group Inc.
DAL	$40 - $65	MIN $35 MAX $70	5/19/2026	AERONAUTICAL	Consumer Cyclical | Travel Services	NYSE	Delta Air Lines, Inc.
